གཏམ་པ་,བཏམས་པ་,བཏམ་པ་,གཏོམས་,TDC,,
གཏམ་པ་,གཏམས་པ་,གཏམ་པ་,གཏོམས་,TDC,,
གཏམ་པ་,གཏམས་པ་,གཏམ་པ་༼གདམས་པ་༽,གཏམས་,,,GT
གཏམས་པ་,གཏམས་པ་,གཏམས་པ་,གཏོམས་,TDC,,
གཏར་བ་,གཏར་བ་,གཏར་བ་,གཏོར་,TDC,,
གཏར་བ་,གཏར༼ད༽་བ་,གཏར་བ་,གཏར༼ད༽་,TDC,,GT
གཏིག་པ་,བཏིགས་པ་,བཏིག་པ་,གཏིགས་,TDC,,
གཏིགས་པ་,བཏིག་པ་,བཏིག་པ་,གཏིགས་,TDC,,GT
གཏིབ་པ་,གཏིབས་པ་,གཏིབ་པ་,གཏིབས་,TDC,PH,
གཏིབས་པ་,གཏིབ་པ་,གཏིབ་པ་,གཏིབས་,,,GT
གཏུག་པ་,གཏུགས་པ་,གཏུག་པ་,གཏུགས་,TDC,,
གཏུགས་པ་,གཏུགས་པ་,གཏུགས་པ་,,TDC,PH,
གཏུགས་པ་,གཏུག་པ་,གཏུག་པ་,གཏུགས་,,,GT
གཏུབ་པ་,གཏུབས་པ་,གཏུབ་པ་,གཏུབས་,TDC,,
གཏུམ་པ་,བཏུམས་པ་,གཏུམ་པ་,ཐུམས་,TDC,,
གཏུལ་བ་,གཏུལ་བ་,གཏུལ་བ་,གཏུལ་,TDC,,
གཏོག་པ་,གཏོགས་པ་,གཏོག་པ་,གཏོགས་,TDC,,
གཏོག་པ་,གཏོག་པ་,གཏོག་པ་,གཏོག་,,,GT
གཏོགས་པ་,གཏོགས་པ་,གཏོགས་པ་,,TDC,,
གཏོགས་པ་,གཏོགས་པ་,གཏོགས་པ་,གཏོགས་,,PH,GT
གཏོང་བ་,བཏང་བ་,གཏང་བ་,ཐོང་,TDC,,
གཏོང་བ་,བཏང་བ་,གཏང་བ་,ཐོང་༼ཐོངས་༽,TDC,PH,
གཏོད་པ་,བཏོད་པ་,གཏོད་པ་,གཏོད་,TDC,,GT
གཏོད་པ་,གཏད་པ་,གཏད་པ་,གཏོད་,TDC,PH,
གཏོལ་བ་,བཏོལ༼ད༽་བ་,བཏོལ་བ་,གཏོལ༼ད༽་,,,GT
གཏོར་བ་,གཏོར་བ་,གཏོར་བ་,གཏོར་,TDC,,
རྟབ་པ་,བརྟབས་པ་,བརྟབ་པ་,,TDC,,
རྟབ་པ་,བརྟབས་པ་,བརྟབ་པ་,རྟབས་,,,GT
རྟུན་པ་,བརྟུན༼ད༽་པ་,བརྟུན་པ་,རྟུན༼ད༽་,,,GT
རྟུལ་བ་,བརྟུལ་བ་,བརྟུལ་བ་,རྟུལ་,TDC,PH,
རྟུལ་བ་,བརྟུལ༼ད༽་བ་,བརྟུལ་བ་,རྟུལ༼ད༽་,,,GT
རྟེན་པ་,བརྟེན་པ་,བརྟེན་པ་,རྟེན་,TDC,PH,
རྟེན་པ་,བརྟེན༼ད༽་པ་,བརྟེན་པ་,རྟེན༼ད༽་,,,GT
རྟོག་པ་,བརྟགས་པ་,བརྟག་པ་,རྟོགས་,TDC,,
རྟོག་པ་,བརྟགས་པ་,བརྟག་པ་,རྟགས་༼རྟོགས་༽,,PH,
རྟོག་པ་,བརྟགས་པ་,བརྟག་པ་,རྟགས་,,,GT
རྟོགས་པ་,རྟོགས་པ་,རྟོགས་པ་,,TDC,,
རྟོགས་པ་,རྟོགས་པ་,རྟོགས་པ་,རྟོགས་,,PH,GT
རྟོད་པ,བརྟོད་པ་,བརྟོད་པ་,རྟོད་,TDC,,GT
རྟོན་པ་,བརྟན་པ་,བརྟན་པ་,རྟོན་,TDC,,
རྟོན་པ་,བརྟན་པ་,བརྟན་པ་༼བརྟོན་པ་༽,རྟོན་,,PH,
རྟོན་པ་,བརྟན༼ད༽་པ་,བརྟོན་པ་༼བརྟན་པ་༽,རྟོན༼ད༽་,,,GT
རྟོལ་བ་,བརྟོལ་བ་,བརྟོལ་བ་,རྟོལ་,TDC,,
རྟོལ་བ་,བརྟོལ༼ད༽་བ་,བརྟོལ་བ་,རྟོལ༼ད༽་,,,GT
རྟོལ་བ་,བརྟོལ་བ་,བརྟོལ་བ་,,TDC,,
ལྟ་བ་,བལྟས་པ་,བལྟ་བ་,ལྟོས་,TDC,,GT
ལྟ་བ་,བལྟས་པ་,བལྟ་བ་,ལྟོས་༼ལྟས་༽,,PH,
ལྟབ་པ་༼ལྟེབ་པ་༽,བལྟབས་པ་,བལྟབ་པ་,ལྟབས་༼ལྟེབས་༽,,,GT
ལྟམ་པ་,བལྟམས་པ་,བལྟམ་པ་,ལྟམས་,,,GT
ལྟུང་བ་,ལྟུངས་པ་,ལྟུང་བ་,,TDC,PH,
ལྟུང་བ་,ལྟུངས་པ་,ལྟུང་བ་,ལྟུང་,,,GT
ལྟེབ་པ་,བལྟབས་པ་,བལྟབ་པ་,ལྟོབས་,TDC,,
ལྟེམ་པ་,ལྟེམ་པ་,ལྟེམ་པ་,,TDC,,
ལྟོག་པ་,ལྟོགས་པ་,ལྟོག་པ་,ལྟོགས་,,PH,GT
ལྟོགས་པ་,ལྟོགས་པ་,ལྟོགས་པ་,,TDC,,
ལྟོས་པ་,བལྟོས་པ་,ལྟོས་པ་,,TDC,PH,
སྟང་བ་,བསྟངས་པ་,བསྟང་བ་,སྟོངས་,TDC,,
སྟད་པ་,བསྟད་པ་,བསྟད་པ་,སྟད་,,,GT
སྟར་བ་,བསྟར་བ་,བསྟར་བ་,སྟོར་,TDC,,
སྟར་བ་,བསྟར་བ་,བསྟར་བ་,སྟར་༼སྟོར་༽,,PH,
སྟར་བ་,བསྟར༼ད༽་བ་,བསྟར་བ་,སྟར༼ད༽་,,,GT
སྟི་བ་,བསྟིས་པ་,བསྟི་བ་,སྟིས་,TDC,,GT
སྟིང་བ་,བསྟིངས་པ་,བསྟིང་བ་,སྟིངས་,TDC,,
སྟིབ་པ་,བསྟིབས་པ་,བསྟིབ་པ་,སྟིབས་,,,GT
སྟིམ་པ་,བསྟིམས་པ་,བསྟིམ་པ་,སྟིམས་,TDC,,GT
སྟིར་བ་,བསྟིར༼ད༽་བ་,བསྟིར་བ་,སྟིར༼ད༽་,,,GT
སྟུག་པ་,བསྟུགས་པ་,བསྟུག་པ་,སྟུགས་,,,GT
སྟུང་བ་,བསྟུངས་པ་,བསྟུང་བ་,སྟུངས་,TDC,,GT
སྟུད་པ་,བསྟུད་པ་,བསྟུད་པ་,སྟུད་,TDC,,GT
སྟུན་པ་,བསྟུན་པ་,བསྟུན་པ་,སྟུན་,TDC,PH,
སྟུན་པ་,སྟུན༼ད༽་པ་,སྟུན་པ་,སྟུན༼ད༽་,,,GT
སྟེན་པ་,བསྟེན་པ་,བསྟེན་པ་,སྟེན་,TDC,PH,
སྟེན་པ་,བསྟེན༼ད༽་པ་,བསྟེན་པ་,སྟེན༼ད༽་,,,GT
སྟེར་བ་,སྟེར་བ་,སྟེར་བ་,སྟེར་,TDC,PH,
སྟེར་བ་,བསྟེར༼ད༽་བ་,བསྟེར་བ་,སྟེར༼ད༽་,,,GT
སྟོང་བ་,སྟོངས་པ་,སྟོང་བ་,,TDC,,
སྟོངས་པ་,བསྟོངས་པ་,བསྟོང་བ་,སྟོངས་,,,GT
སྟོང་བ་,སྟོངས་པ་,སྟོང་བ་,སྟོངས་,,PH,GT
སྟོད་པ་,བསྟད་པ་,བསྟད་པ་,སྟོད་,TDC,,
སྟོན་པ་,བསྟན་པ་,བསྟན་པ་,སྟོན་,TDC,PH,
སྟོན་པ་,བསྟན༼ད༽་པ་,བསྟན་པ་,སྟོན༼ད༽་,,,GT
སྟོབ་པ་,བསྟབས་པ་,བསྟབ་པ་,སྟོབས་,TDC,PH,GT
སྟོར་བ་,བསྟར་བ་,བསྟར་བ་,སྟོར་,TDC,PH,
སྟོར་བ་,བསྟོར༼ད༽་བ་,བསྟོར་བ་,སྟོར༼ད༽་,,,GT
སྟོར་བ་,སྟོར་བ་,སྟོར་བ་,,TDC,,
བརྟ་བ་,བརྟས་པ་,བརྟ་བ་,,TDC,,
བརྟ་བ་,བརྟས་པ་,བརྟའ་བ་,རྟས་,,,GT
བལྟམས་པ་,བལྟམས་པ་,བལྟམས་པ་,,TDC,PH,
བསྟུན་པ་,བསྟུན༼ད༽་པ་,བསྟུན་པ་,བསྟུན༼ད༽་,,,GT
བསྟོད་པ་,བསྟོད་པ་,བསྟོད་པ་,བསྟོད་,TDC,PH,
བསྟོད་པ་༼སྟོད་པ་༽,བསྟོད་པ་,བསྟོད་པ་,སྟོད་༼བསྟོད་༽,,,GT
