ན་བ་,ན་བ་,ན་བ་,,TDC,PH,
ན་བ་,ན་བ་,ན་བ་,ན་,,,GT
ནབ་པ་,མནབས་པ་,མནབ་པ་,ནོབས་,TDC,,
ནུ་བ་,ནུས་པ་,ནུ་བ་,ནུས་,TDC,,
ནུ་བ་,ནུད་པ་,ནུ་བ་,ནུད་,,,GT
ནུད་པ་,ནུད་པ་,ནུད་པ་,ནུད་,TDC,,GT
ནུབ་པ་,ནུབ་པ་,ནུབ་པ་,,TDC,PH,
ནུབ་པ་,ནུབ་པ་,ནུབ་པ་,ནུབ་,,,GT
ནུར་བ་,ནུར༼ད༽་བ་,ནུར་བ་,ནུར༼ད༽་,,,GT
ནུས་པ་,ནུས་པ་,ནུས་པ་,ནུས་,,PH,GT
ནེན་པ་,ནེན༼ད༽་པ་,ནེན་པ་,ནེན༼ད༽་,,,GT
ནེམ་པ་,ནེམས་པ་,ནེམ་པ་,ནེམས་,,,GT
ནེར་བ་,ནེར༼ད༽་བ་,ནེར་བ་,ནེར༼ད༽་,,,GT
ནོག་པ་,ནོགས་པ་,ནོག་པ་,ནོགས་,TDC,,
ནོགས་པ་,ནོགས་པ་,ནོགས་པ་,,TDC,,
ནོང་བ་,ནོངས་པ་,ནོང་བ་,,TDC,,
ནོངས་བ་,ནོངས་པ་,ནོངས་བ་,,TDC,,
ནོང་བ་,ནོངས་པ་,ནོང་བ་,ནོངས་,,,GT
ནོད་པ་,མནོས་པ་,མནོ་བ་,ནོས་,TDC,,
ནོད་པ་,ནོད་པ་,ནོད་པ་,,TDC,,
ནོད་པ་,ནོས་པ་,ནོད་པ་,,,PH,
ནོད་པ་,ནོས་པ་,ནོད་པ་,ནོས་,,,GT
ནོན་པ་,ནོན་པ་,ནོན་པ་,,TDC,PH,
ནོན་པ་,ནོན༼ད༽་པ་,ནོན་པ་,ནོན༼ད༽་,,,GT
ནོམ་པ་,མནམས་པ་,མནམ་པ་,ནོམས་,TDC,,
ནོམ་པ་,ནོམས་པ་,ནོམ་པ་,ནོམས་,,,GT
ནོར་བ་,ནོར༼ད༽་བ་,ནོར་བ་,ནོར༼ད༽་,,,GT
ནོར་བ་,ནོར་བ་,ནོར་བ་,,TDC,PH,
ནོལ་བ་,ནོལ༼ད༽་བ་,ནོལ་བ་,ནོལ༼ད༽་,,,GT
གནང་བ་,གནང་བ་,གནང་བ་,གནོངས་,TDC,PH,
གནང་བ་,གནང་བ་,གནང་བ་,གནངས་,,,GT
གནས་པ་,གནས་པ་,གནས་པ་,གནས་,,PH,GT
གནོང་བ་,གནོངས་པ་,གནོང་བ་,,TDC,,
གནོད་པ་,གནོད་པ་,གནོད་པ་,,TDC,,
གནོད་པ་,གནོད་པ་,གནོད་པ་,གནོད་,TDC,PH,GT
གནོན་པ་,མནན་པ་,མནན་པ་,ནོན་,TDC,PH,
གནོན་པ་,མནན༼ད༽་པ་,མནན་པ་,གནོན༼ད༽་,,,GT
མནང་བ་,མནངས་པ་,མནང་བ་,མནངས་,,,GT
མནབ་པ་,མནབས་པ་,མནབ་པ་,མནབས་,,,GT
མནམ་པ་,མནམ་པ་,མནམ་པ་,,TDC,,
མནམ་པ་,མནམས་པ་,མནམ་པ་,མནམས་,,,GT
མནར་བ་,མནར་བ་,མནར་བ་,,TDC,,
མནར་བ་,མནར་བ་,མནར་བ་,མནར་,,PH,
མནར་བ་,མནར༼ད༽་བ་,མནར་བ་,མནར༼ད༽་,,,GT
མནལ་བ་,མནལ་བ་,མནལ་བ་,མནོལ་,TDC,,
མནལ་བ་,མནལ༼ད༽་བ་,མནལ་བ་,མནལ༼ད༽་,,,GT
མནོ་བ་,མནོས་པ་,མནོ་པ་,,PH,
མནོ་བ་,མནོས་པ་,མནོ་བ་,མནོས་,,,GT
མནོད་པ་,མནོས་པ་,མནོ་བ་,ནོས་,,PH,
མནོད་པ་,མནོས་པ་,མནོ་བ་,མནོད་,,,GT
མནོལ་བ་,མནོལ་བ་,མནོལ་བ་,,TDC,,
མནོལ་བ་,མནོལ༼ད༽་བ་,མནོལ་བ་,མནོལ༼ད༽་,,,GT
རྣག་པ་,བརྣགས་པ་,བརྣག་པ་,རྣགས་,,,GT
རྣང་བ་བ་,རྣངས་པ་,བརྣང་བ་,རྣངས་,,,GT
རྣན་པ་,བརྣན་པ་,བརྣན་པ་,རྣོན་,,PH,
རྣན་པ་,བརྣན༼ད༽་པ་,བརྣན་པ་,རྣན༼ད༽་,,,GT
རྣབ་པ་,བརྣབས་པ་,བརྣབ་པ་,,TDC,,
རྣབ་པ་,བརྣབས་པ་,བརྣབ་པ་,རྣབས་,,,GT
རྣུར་བ་,བརྣུར༼ད༽་བ་,བརྣུར་བ་,རྣུར༼ད༽་,,,GT
རྣོ་བ་,རྣོ་བ་,རྣོ་བ་,,,PH,
རྣོག་པ་,བརྣགས་པ་,བརྣག་པ་,རྣོགས་,TDC,,
རྣོག་པ་,བརྣོགས་པ་,བརྣོག་པ་,རྣོགས་,TDC,,GT
སྣང་བ་,སྣང་བ་,སྣང་བ་,,TDC,,
སྣང་བ་,སྣང་བ་,སྣང་བ་,སྣང་,,PH,GT
སྣད་པ་,བསྣད་པ་,བསྣད་པ་,,TDC,,
སྣད་པ་,བསྣད་པ་,བསྣད་པ་,སྣད་,,,GT
སྣར་བ་,བསྣར་བ་,བསྣར་བ་,སྣོར་,TDC,,
སྣར་བ་,བསྣར༼ད༽་བ་,བསྣར་བ་,སྣོར༼ད༽་,,,GT
སྣུད་པ་,བསྣུད་པ་,བསྣུད་པ་,སྣུད་,TDC,,
སྣུན་པ་,བསྣུན་པ་,བསྣུན་པ་,སྣུན་,TDC,PH,
སྣུབ་པ་,བསྣུབས་པ་,བསྣུབ་པ་,སྣུབས་,TDC,PH,
སྣུར་བ་,བསྣུར་བ་,བསྣུར་བ་,སྣུར་,TDC,,
སྣེམ་པ་,བསྣེམས་པ་,བསྣེམ་པ་,སྣེམས་,TDC,,GT
སྣོ་བ་,བསྣོས་པ་,བསྣོ་བ་,སྣོས་,TDC,,GT
སྣོག་པ་,བསྣོགས་པ་,བསྣོག་པ་,སྣོགས་,TDC,,
སྣོན་པ་,བསྣན་པ་,བསྣན་པ་,སྣོན་,TDC,PH,
སྣོན་པ་,བསྣན་པ་,བསྣན་པ་,སྣོན༼ད༽་,,,GT
སྣོམ་པ་,བསྣམས་པ་,བསྣམ་པ་,སྣོམས་,,PH,GT
སྣོར་བ་,བསྣོར་བ་,བསྣོར་བ་,སྣོར་,TDC,,
སྣོར་བ་,བསྣོར༼ད༽་བ་,བསྣོར་བ་,སྣོར་༼ད༽,,,GT
སྣོལ་བ་,བསྣོལ་བ་,བསྣོལ་བ་,སྣོལ་,TDC,,
སྣོལ་བ་,བསྣོལ༼ད༽་བ་,བསྣོལ་བ་,སྣོལ༼ད༽་,,,GT
བརྣན་པ་,བརྣན་པ་,བརྣན་པ་,རྣོན་,TDC,,
